small-time buccaneer	upgrade!	1376
the coin	mistress of mixtures	1374
the coin	wrath	1361
southsea deckhand	swashburglar	1358
small-time buccaneer	maelstrom portal	1354
backstab	the coin	1353
twilight whelp	drakonid operative	1349
living roots	jade idol	1348
spirit claws	totem golem	1329
northshire cleric	netherspite historian	1327
the coin	flametongue totem	1312
jade idol	swipe	1307
swashburglar	fan of knives	1304
spirit claws	jade lightning	1296
swashburglar	preparation	1290
the coin	feral spirit	1287
jade idol	jade behemoth	1281
small-time buccaneer	lightning bolt	1275
northshire cleric	power word: shield	1267
the coin	kor'kron elite	1249
the coin	dread corsair	1237
small-time buccaneer	feral spirit	1230
tunnel trogg	thing from below	1221
northshire cleric	drakonid operative	1219
the coin	swipe	1206
small-time buccaneer	bloodsail raider	1206
small-time buccaneer	flamewreathed faceless	1204
jade idol	jade spirit	1203
sir finley mrrgglton	southsea deckhand	1197
small-time buccaneer	bloodmage thalnos	1190
northshire cleric	the coin	1183
living roots	innervate	1181
raven idol	innervate	1180
wild growth	nourish	1180
the coin	brann bronzebeard	1173
living roots	the coin	1171
twilight whelp	twilight guardian	1159
small-time buccaneer	bloodsail cultist	1157
jade claws	maelstrom portal	1157
small-time buccaneer	dread corsair	1148
spirit claws	flametongue totem	1143
wild growth	azure drake	1141
northshire cleric	kabal talonpriest	1131
spirit claws	patches the pirate	1124
wrath	innervate	1099
jade idol	jade idol	1097
swashburglar	swashburglar	1091
the coin	bloodsail cultist	1085
wild growth	feral rage	1081
jade claws	jade lightning	1079
small-time buccaneer	si:7 agent	1077
the coin	heroic strike	1071
fiery war axe	patches the pirate	1070
twilight whelp	the coin	1067
northshire cleric	shadow word: pain	1061
sir finley mrrgglton	fiery war axe	1050
tunnel trogg	hex	1050
swashburglar	edwin vancleef	1049
twilight whelp	power word: shield	1041
tunnel trogg	bloodmage thalnos	1020
small-time buccaneer	sap	1017
small-time buccaneer	lava burst	1017
totem golem	maelstrom portal	1011
the coin	jade blossom	1011
small-time buccaneer	heroic strike	1011
spirit claws	azure drake	1010
jade idol	feral rage	1002
small-time buccaneer	counterfeit coin	997
twilight whelp	kabal talonpriest	987
swashburglar	sap	985
raven idol	wrath	974
jade idol	azure drake	971
small-time buccaneer	arcanite reaper	970
sir finley mrrgglton	tunnel trogg	968
small-time buccaneer	gadgetzan auctioneer	961
northshire cleric	twilight guardian	960
jade idol	nourish	959
mana wyrm	frostbolt	952
n'zoth's first mate	n'zoth's first mate	951
small-time buccaneer	conceal	949
raven idol	living roots	947
flame imp	voidwalker	947
the coin	wyrmrest agent	944
mistress of mixtures	doomsayer	942
small-time buccaneer	questing adventurer	941
small-time buccaneer	edwin vancleef	940
tunnel trogg	lightning storm	936
living roots	wrath	933
swashburglar	counterfeit coin	930
wyrmrest agent	netherspite historian	925
spirit claws	lightning bolt	923
n'zoth's first mate	mortal strike	922
totem golem	jade lightning	921
tunnel trogg	aya blackpaw	917
n'zoth's first mate	southsea captain	917
totem golem	lightning bolt	916
sorcerer's apprentice	mana wyrm	916
twilight whelp	blackwing corruptor	907
the coin	netherspite historian	906
the coin	flamewreathed faceless	903
totem golem	flametongue totem	898
southsea deckhand	fiery war axe	895
the coin	twilight guardian	888
the coin	arcanite reaper	885
twilight whelp	shadow word: pain	876
spirit claws	feral spirit	875
swashburglar	bluegill warrior	872
the coin	nourish	859
acolyte of pain	the coin	855
wild growth	jade blossom	853
swashburglar	gadgetzan auctioneer	852
the coin	aya blackpaw	846
babbling book	the coin	845
northshire cleric	blackwing corruptor	834
raven idol	jade idol	827
raven idol	swipe	823
the coin	feral rage	816
swashburglar	questing adventurer	814
spirit claws	southsea deckhand	812
small-time buccaneer	leeroy jenkins	812
babbling book	frostbolt	806
the coin	frostbolt	803
upgrade!	southsea deckhand	792
wyrmrest agent	drakonid operative	791
mana wyrm	fireball	789
swashburglar	conceal	788
the coin	hex	786
babbling book	fireball	786
northshire cleric	shadow word: death	778
mana wyrm	arcane intellect	778
raven idol	the coin	776
patches the pirate	backstab	773
the coin	jade behemoth	769
sir finley mrrgglton	kor'kron elite	763
innervate	swipe	760
mana tide totem	jade claws	759
voidwalker	the coin	752
totem golem	feral spirit	751
mana wyrm	arcane missiles	746
the coin	bluegill warrior	746
spirit claws	bloodmage thalnos	743
innervate	jade blossom	743
sir finley mrrgglton	frothing berserker	741
wild growth	jade behemoth	740
spirit claws	thing from below	738
living roots	swipe	737
sir finley mrrgglton	bloodsail raider	736
the coin	lightning storm	732
jade claws	azure drake	731
totem golem	azure drake	730
tunnel trogg	mana tide totem	730
mana wyrm	flamewaker	730
the coin	dark peddler	727
twilight whelp	azure drake	726
jade claws	hex	724
upgrade!	sir finley mrrgglton	722
the coin	kazakus	718
swashburglar	murloc warleader	718
spirit claws	hex	717
dark peddler	voidwalker	715
the coin	dirty rat	711
tomb pillager	the coin	711
the coin	eviscerate	704
the coin	thing from below	701
jade claws	flametongue totem	699
twilight whelp	shadow word: death	691
spirit claws	flamewreathed faceless	690
argent squire	the coin	689
the coin	lava burst	687
jade claws	thing from below	684
swashburglar	argent squire	683
the coin	loot hoarder	682
bloodsail raider	southsea deckhand	681
the coin	blackwing corruptor	678
backstab	eviscerate	678
northshire cleric	azure drake	676
the coin	shadow word: pain	674
doomsayer	acidic swamp ooze	673
jade claws	jade spirit	669
the coin	kabal talonpriest	667
raven idol	nourish	666
wild growth	ancient of war	664
backstab	fan of knives	664
the coin	imp gang boss	663
the coin	power word: shield	657
the coin	kabal courier	655
malchezaar's imp	flame imp	652
wild growth	fandral staghelm	650
totem golem	thing from below	649
mana wyrm	the coin	646
jade claws	lightning storm	645
upgrade!	patches the pirate	644
tunnel trogg	jade spirit	643
upgrade!	fiery war axe	641
fiery war axe	frothing berserker	641
raven idol	feral rage	640
mistress of mixtures	kazakus	638
the coin	drakonid operative	636
wyrmrest agent	kabal talonpriest	633
babbling book	arcane intellect	631
malchezaar's imp	voidwalker	631
mana wyrm	arcane blast	627
tunnel trogg	jinyu waterspeaker	626
wild growth	wild growth	625
acidic swamp ooze	mistress of mixtures	624
arcane intellect	the coin	624
backstab	southsea deckhand	622
the coin	mortal coil	620
innervate	nourish	620
innervate	azure drake	616
spirit claws	spirit claws	615
wyrmrest agent	twilight guardian	615
n'zoth's first mate	alexstrasza's champion	614
doomsayer	kazakus	612
backstab	tomb pillager	609
swashburglar	shaku, the collector	609
arcane blast	babbling book	605
wild growth	jade spirit	605
shadow word: pain	wyrmrest agent	604
wyrmrest agent	power word: shield	602
the coin	fireball	602
spirit claws	mana tide totem	600
netherspite historian	drakonid operative	599
small-time buccaneer	aya blackpaw	599
mana tide totem	the coin	599
totem golem	hex	597
spirit claws	lightning storm	595
fan of knives	the coin	594
jade claws	lightning bolt	594
possessed villager	flame imp	590
mistress of mixtures	mortal coil	589
dark peddler	mistress of mixtures	588
living roots	jade blossom	584
southsea deckhand	frothing berserker	584
possessed villager	voidwalker	576
the coin	gadgetzan auctioneer	575
sir finley mrrgglton	dread corsair	573
fiery war axe	bloodsail raider	572
imp gang boss	voidwalker	571
babbling book	forgotten torch	564
innervate	feral rage	564
jade claws	jinyu waterspeaker	563
mistress of mixtures	twilight drake	561
dark peddler	flame imp	561
southsea deckhand	southsea deckhand	558
wyrmrest agent	blackwing corruptor	558
fiery war axe	kor'kron elite	558
southsea deckhand	jade claws	556
sir finley mrrgglton	heroic strike	556
swashburglar	argent horserider	555
jade idol	ancient of war	554
sir finley mrrgglton	bloodsail cultist	553
mistress of mixtures	imp gang boss	551
the coin	twilight drake	550
the coin	murloc warleader	549
the coin	flame imp	548
the coin	mortal strike	547
spirit claws	jade spirit	546
backstab	azure drake	544
jade idol	aya blackpaw	543
the coin	emperor thaurissan	540
small-time buccaneer	mortal strike	538
southsea deckhand	totem golem	537
small-time buccaneer	southsea captain	535
mana wyrm	mirror image	535
si:7 agent	the coin	533
northshire cleric	holy nova	529
fiery war axe	dread corsair	528
jade idol	fandral staghelm	527
small-time buccaneer	argent horserider	526
mistress of mixtures	brann bronzebeard	526
mana wyrm	azure drake	526
totem golem	lightning storm	524
the coin	leeroy jenkins	524
babbling book	doomsayer	523
southsea deckhand	azure drake	521
northshire cleric	brann bronzebeard	520
totem golem	totem golem	519
living roots	feral rage	517
preparation	the coin	517
argent squire	patches the pirate	516
northshire cleric	northshire cleric	515
swashburglar	leeroy jenkins	513
n'zoth's first mate	leeroy jenkins	512
southsea deckhand	kor'kron elite	512
jade claws	jade claws	512
southsea deckhand	heroic strike	511
netherspite historian	twilight guardian	511
backstab	preparation	510
the coin	second-rate bruiser	508
living roots	azure drake	507
raven idol	azure drake	506
sir finley mrrgglton	arcanite reaper	502
living roots	nourish	501
fiery war axe	ravaging ghoul	500
doomsayer	dirty rat	500
mistress of mixtures	shadow bolt	499
small-time buccaneer	alexstrasza's champion	498
backstab	si:7 agent	498
the coin	forgotten torch	495
the coin	reno jackson	491
mistress of mixtures	dirty rat	491
doomsayer	brann bronzebeard	490
spirit claws	lava burst	489
gadgetzan auctioneer	wild growth	488
mana wyrm	babbling book	484
the coin	defender of argus	482
arcane intellect	frostbolt	482
the coin	jinyu waterspeaker	482
spirit claws	jinyu waterspeaker	479
fiery war axe	heroic strike	478
n'zoth's first mate	fierce monkey	477
southsea deckhand	dread corsair	474
patches the pirate	jade claws	473
sir finley mrrgglton	totem golem	472
mortal coil	doomsayer	471
jade idol	druid of the claw	471
netherspite historian	shadow word: pain	468
fiery war axe	bash	468
imp gang boss	flame imp	468
the coin	the coin	467
fiery war axe	bloodsail cultist	467
spirit claws	aya blackpaw	466
mistress of mixtures	second-rate bruiser	466
twilight whelp	twilight whelp	464
fiery war axe	fiery war axe	462
the coin	shadow word: death	461
doomsayer	twilight drake	461
babbling book	firelands portal	460
twilight whelp	brann bronzebeard	460
fiery war axe	slam	456
the coin	ancient of war	456
jade claws	feral spirit	455
backstab	cold blood	454
backstab	counterfeit coin	453
mistress of mixtures	refreshment vendor	453
totem golem	flamewreathed faceless	452
southsea deckhand	bloodsail cultist	452
fiery war axe	shield block	450
babbling book	kazakus	449
jade claws	jade chieftain	449
babbling book	bloodmage thalnos	447
counterfeit coin	the coin	446
patches the pirate	bloodsail raider	445
doomsayer	reno jackson	443
twilight whelp	holy nova	443
maelstrom portal	mana tide totem	443
argent squire	southsea deckhand	443
sir finley mrrgglton	jade claws	442
totem golem	patches the pirate	441
babbling book	azure drake	440
imp gang boss	dark peddler	440
upgrade!	bloodsail raider	439
the coin	fandral staghelm	437
mana wyrm	firelands portal	436
wyrmrest agent	shadow word: death	436
argent horserider	the coin	435
dark peddler	mortal coil	433
jade blossom	wrath	433
earthen ring farseer	mistress of mixtures	432
babbling book	acidic swamp ooze	431
the coin	cold blood	431
southsea deckhand	bluegill warrior	431
innervate	jade spirit	429
n'zoth's first mate	twilight guardian	428
voidwalker	soulfire	428
babbling book	volcanic potion	427
n'zoth's first mate	naga corsair	427
mistress of mixtures	reno jackson	427
the coin	shadow bolt	426
wyrmrest agent	azure drake	425
innervate	jade behemoth	425
southsea deckhand	arcanite reaper	425
wrath	swipe	423
netherspite historian	kabal talonpriest	420
the coin	druid of the claw	417
the coin	earthen ring farseer	416
small-time buccaneer	jade spirit	415
doomsayer	dark peddler	415
the coin	arcane blast	415
doomsayer	arcane intellect	414
tunnel trogg	jade chieftain	414
totem golem	mana tide totem	413
babbling book	kabal courier	412
innervate	innervate	412
the coin	southsea captain	412
doomsayer	emperor thaurissan	411
acolyte of pain	fiery war axe	409
fiery war axe	arcanite reaper	409
questing adventurer	the coin	408
the coin	animal companion	406
arcane intellect	fireball	406
flame imp	darkshire councilman	404
kabal courier	doomsayer	403
the coin	refreshment vendor	402
n'zoth's first mate	blackwing corruptor	402
southsea deckhand	si:7 agent	402
flame imp	soulfire	400
doomsayer	bloodmage thalnos	399
frostbolt	doomsayer	398
living roots	living roots	396
netherspite historian	power word: shield	395
raven idol	raven idol	394
the coin	alexstrasza's champion	394
wild growth	moonfire	394
small-time buccaneer	hex	393
spirit claws	jade chieftain	393
backstab	questing adventurer	392
doomsayer	imp gang boss	392
babbling book	flamestrike	390
mountain giant	mistress of mixtures	389
southsea deckhand	eviscerate	388
southsea deckhand	flametongue totem	387
jade claws	aya blackpaw	387
babbling book	ice block	386
mistress of mixtures	emperor thaurissan	386
doomsayer	acolyte of pain	385
the coin	barnes	385
babbling book	polymorph	383
swashburglar	undercity huckster	383
smuggler's run	the coin	382
totem golem	jinyu waterspeaker	382
fiery war axe	alley armorsmith	380
babbling book	water elemental	380
small-time buccaneer	argent squire	380
the coin	ravaging ghoul	379
doomsayer	shadow bolt	379
sir finley mrrgglton	flamewreathed faceless	378
living roots	jade behemoth	378
mana wyrm	mana wyrm	378
sir finley mrrgglton	flametongue totem	377
doomsayer	refreshment vendor	376
smuggler's run	grimestreet outfitter	376
patches the pirate	azure drake	372
ice block	the coin	371
voidwalker	darkshire councilman	370
southsea deckhand	murloc warleader	369
the coin	sap	368
doomsayer	loot hoarder	367
sir finley mrrgglton	lightning bolt	367
kabal courier	mistress of mixtures	367
wild growth	mire keeper	366
netherspite historian	blackwing corruptor	366
doomsayer	fireball	366
raven idol	jade blossom	365
fiery war axe	shield slam	365
babbling book	blizzard	365
wrath	feral rage	365
jade idol	mulch	365
wild growth	mulch	364
jade claws	bloodmage thalnos	363
argent squire	argent horserider	363
spirit claws	sir finley mrrgglton	362
the coin	faerie dragon	362
southsea deckhand	jade lightning	361
fiery war axe	execute	360
swashburglar	bloodmage thalnos	360
backstab	sap	360
twilight whelp	book wyrm	360
gadgetzan auctioneer	jade idol	359
sir finley mrrgglton	feral spirit	359
malchezaar's imp	possessed villager	358
small-time buccaneer	fierce monkey	357
wild growth	druid of the claw	357
totem golem	jade spirit	355
innervate	fandral staghelm	354
southsea deckhand	cold blood	354
mana wyrm	forgotten torch	354
argent squire	backstab	354
southsea deckhand	lightning bolt	353
living roots	jade spirit	353
small-time buccaneer	twilight guardian	351
northshire cleric	book wyrm	350
n'zoth's first mate	acidic swamp ooze	350
imp gang boss	mortal coil	348
n'zoth's first mate	azure drake	347
doomsayer	azure drake	347
possessed villager	dark peddler	347
maelstrom portal	lightning bolt	346
sir finley mrrgglton	southsea captain	346
sir finley mrrgglton	azure drake	345
southsea deckhand	flamewreathed faceless	343
acidic swamp ooze	kazakus	343
small-time buccaneer	blackwing corruptor	340
northshire cleric	dragonfire potion	340
small-time buccaneer	thing from below	338
totem golem	bloodmage thalnos	337
sir finley mrrgglton	jade lightning	336
the coin	slam	336
backstab	edwin vancleef	335
voidwalker	doomguard	335
bluegill warrior	murloc warleader	334
maelstrom portal	jade lightning	334
patches the pirate	frothing berserker	334
raven idol	moonfire	332
totem golem	aya blackpaw	331
arcane intellect	arcane blast	331
doomsayer	second-rate bruiser	331
the coin	jade chieftain	330
sir finley mrrgglton	maelstrom portal	329
backstab	backstab	329
flame imp	doomguard	328
swashburglar	shadowstep	328
raven idol	fandral staghelm	326
bloodmage thalnos	azure drake	326
fiery war axe	dirty rat	326
southsea deckhand	feral spirit	325
the coin	sorcerer's apprentice	325
twilight whelp	blackwing technician	325
northshire cleric	potion of madness	325
babbling book	reno jackson	324
sorcerer's apprentice	frostbolt	324
small-time buccaneer	mana tide totem	324
wild growth	aya blackpaw	324
small-time buccaneer	bluegill warrior	323
swashburglar	finja, the flying star	322
upgrade!	frothing berserker	321
dark peddler	twilight drake	321
the coin	possessed villager	321
maelstrom portal	hex	320
the coin	ragnaros the firelord	320
backstab	gadgetzan auctioneer	320
innervate	ancient of war	320
twilight whelp	dragonfire potion	320
the coin	truesilver champion	319
malchezaar's imp	dark peddler	319
doomsayer	earthen ring farseer	317
mistress of mixtures	hellfire	316
mistress of mixtures	demonwrath	316
frostbolt	fireball	315
doomsayer	ice block	315
southsea deckhand	maelstrom portal	313
arcane blast	frostbolt	312
doomsayer	mountain giant	310
netherspite historian	azure drake	310
small-time buccaneer	naga corsair	310
the coin	kindly grandmother	309
the coin	fierce monkey	308
forgotten torch	doomsayer	308
the coin	edwin vancleef	308
the coin	bloodsail corsair	308
voidwalker	voidwalker	308
the coin	firelands portal	307
counterfeit coin	tomb pillager	307
the coin	holy nova	306
the coin	devolve	306
mana tide totem	jade lightning	305
the coin	malchezaar's imp	305
northshire cleric	acidic swamp ooze	304
shaku, the collector	small-time buccaneer	304
voidwalker	mortal coil	303
totem golem	lava burst	302
wild growth	bloodmage thalnos	301
mistress of mixtures	siphon soul	301
jade claws	flamewreathed faceless	301
wrath	nourish	300
twilight drake	imp gang boss	300
netherspite historian	shadow word: death	300
flame imp	defender of argus	300
the coin	soulfire	299
argent squire	si:7 agent	299
southsea deckhand	lava burst	298
demonwrath	the coin	298
wyrmrest agent	brann bronzebeard	298
small-time buccaneer	jinyu waterspeaker	298
voidwalker	defender of argus	298
the coin	hellfire	297
heroic strike	patches the pirate	297
gadgetzan auctioneer	raven idol	296
the coin	bash	296
flame imp	dire wolf alpha	296
the coin	water elemental	294
acidic swamp ooze	brann bronzebeard	294
volcanic potion	the coin	294
bloodsail corsair	patches the pirate	294
doomsayer	bluegill warrior	294
mistress of mixtures	abyssal enforcer	293
jade claws	devolve	293
maelstrom portal	lightning storm	292
tomb pillager	fan of knives	291
flame imp	flame imp	291
patches the pirate	tomb pillager	290
the coin	arcane missiles	290
flame imp	knife juggler	290
the coin	blizzard	288
mistress of mixtures	defender of argus	288
patches the pirate	kor'kron elite	287
wyrmrest agent	holy nova	286
arcane blast	doomsayer	286
babbling book	dirty rat	286
living roots	fandral staghelm	286
mistress of mixtures	azure drake	285
southsea deckhand	argent horserider	285
raven idol	ancient of war	284
living roots	druid of the claw	284
the coin	quick shot	284
grimestreet outfitter	the coin	284
murloc warleader	small-time buccaneer	284
preparation	fan of knives	283
mana tide totem	thing from below	283
upgrade!	heroic strike	282
southsea deckhand	southsea captain	282
babbling book	brann bronzebeard	282
arcane intellect	bloodmage thalnos	282
argent squire	azure drake	282
doomsayer	murloc warleader	281
mana wyrm	water elemental	280
dark peddler	shadow bolt	279
the coin	shield block	278
babbling book	arcane missiles	278
argent squire	cold blood	278
doomsayer	hellfire	277
argent squire	bluegill warrior	277
sorcerer's apprentice	arcane intellect	276
small-time buccaneer	jade chieftain	276
acidic swamp ooze	kabal courier	274
fiery war axe	alexstrasza's champion	274
tomb pillager	questing adventurer	274
fan of knives	questing adventurer	272
northshire cleric	defender of argus	272
mana wyrm	bloodmage thalnos	271
n'zoth's first mate	drakonid crusher	270
sorcerer's apprentice	arcane missiles	270
tunnel trogg	brann bronzebeard	270
wyrmrest agent	wyrmrest agent	270
mana tide totem	lightning storm	269
the coin	knife juggler	269
the coin	flamestrike	269
bloodmage thalnos	frostbolt	269
mistress of mixtures	voidwalker	268
mana wyrm	acolyte of pain	268
jade blossom	swipe	267
the coin	mulch	267
dirty rat	acidic swamp ooze	267
sir finley mrrgglton	lava burst	266
fiery war axe	revenge	266
fan of knives	patches the pirate	266
upgrade!	bloodsail cultist	265
mana tide totem	hex	265
mistress of mixtures	sunfury protector	265
upgrade!	dread corsair	265
upgrade!	kor'kron elite	265
sorcerer's apprentice	flamewaker	264
possessed villager	imp gang boss	264
the coin	consecration	263
backstab	conceal	262
babbling book	forbidden flame	261
living roots	ancient of war	261
doomsayer	siphon soul	261
the coin	eaglehorn bow	261
the coin	kill command	261
acidic swamp ooze	dark peddler	261
the coin	sylvanas windrunner	261
babbling book	acolyte of pain	260
the coin	frost nova	260
the coin	aldor peacekeeper	260
northshire cleric	blackwing technician	260
imp gang boss	shadow bolt	260
the coin	mind control tech	260
malchezaar's imp	soulfire	260
small-time buccaneer	drakonid crusher	259
babbling book	frost nova	259
jade blossom	jade behemoth	258
wrath	azure drake	258
the coin	execute	258
the coin	potion of madness	258
mind control tech	mistress of mixtures	258
wild growth	doomsayer	257
dark peddler	earthen ring farseer	256
the coin	blackwing technician	256
totem golem	jade chieftain	256
voidwalker	knife juggler	256
acidic swamp ooze	azure drake	255
ice block	arcane intellect	255
the coin	book wyrm	255
southsea deckhand	leeroy jenkins	255
preparation	tomb pillager	254
forgotten torch	arcane intellect	254
mana tide totem	jade spirit	253
babbling book	emperor thaurissan	253
the coin	dire wolf alpha	253
dark peddler	kazakus	253
the coin	alleycat	253
twilight drake	mortal coil	252
jade idol	brann bronzebeard	252
questing adventurer	patches the pirate	252
bloodmage thalnos	fireball	252
mortal coil	shadow bolt	251
questing adventurer	counterfeit coin	250
argent squire	eviscerate	250
patches the pirate	eviscerate	249
voidwalker	dire wolf alpha	249
wild growth	dark arakkoa	248
brann bronzebeard	jade claws	248
arcane intellect	loot hoarder	248
twilight whelp	defender of argus	247
small-time buccaneer	acidic swamp ooze	246
fan of knives	counterfeit coin	246
southsea deckhand	mortal strike	246
the coin	abyssal enforcer	246
preparation	questing adventurer	245
shaku, the collector	backstab	245
loot hoarder	acolyte of pain	245
doomsayer	demonwrath	244
mistress of mixtures	babbling book	244
upgrade!	arcanite reaper	244
mana tide totem	azure drake	244
tunnel trogg	hammer of twilight	244
the coin	polymorph	243
possessed villager	darkshire councilman	243
raven idol	jade behemoth	242
loot hoarder	frostbolt	242
the coin	conceal	240
n'zoth's first mate	faerie dragon	239
sorcerer's apprentice	fireball	239
the coin	shaku, the collector	239
sir finley mrrgglton	mortal strike	239
jade blossom	jade spirit	238
acidic swamp ooze	imp gang boss	238
twilight whelp	potion of madness	238
spirit claws	devolve	238
the coin	naga corsair	238
sir finley mrrgglton	alexstrasza's champion	237
loot hoarder	fireball	237
wyrmrest agent	book wyrm	237
argent squire	murloc warleader	237
fiery war axe	brawl	236
bloodmage thalnos	backstab	236
fan of knives	eviscerate	236
maelstrom portal	flametongue totem	234
babbling book	sorcerer's apprentice	234
the coin	undercity huckster	233
kabal courier	kazakus	233
wild growth	kun the forgotten king	232
patches the pirate	dread corsair	232
acidic swamp ooze	fireball	232
novice engineer	the coin	231
imp gang boss	earthen ring farseer	230
the coin	wild pyromancer	230
babbling book	cabalist's tome	228
mountain giant	imp gang boss	228
maelstrom portal	thing from below	228
doomsayer	blizzard	227
fiery war axe	southsea captain	227
forgotten torch	frostbolt	226
enchanted raven	living roots	226
swashburglar	naga corsair	226
wyrmrest agent	dragonfire potion	225
the coin	siphon soul	225
preparation	patches the pirate	225
dark peddler	mountain giant	224
tomb pillager	sap	223
dark peddler	dirty rat	223
mistress of mixtures	blastcrystal potion	223
acidic swamp ooze	frostbolt	222
n'zoth's first mate	bash	222
argent squire	argent squire	222
imp gang boss	kazakus	222
shaku, the collector	southsea deckhand	222
wild growth	brann bronzebeard	220
mortal coil	acidic swamp ooze	220
innervate	druid of the claw	220
flame imp	darkshire librarian	220
shadow word: pain	power word: shield	219
dark peddler	second-rate bruiser	218
frostbolt	acolyte of pain	217
ice block	frostbolt	217
sorcerer's apprentice	arcane blast	217
twilight whelp	acidic swamp ooze	216
kabal courier	fireball	216
mistress of mixtures	bloodmage thalnos	216
patches the pirate	bloodsail cultist	216
malchezaar's imp	imp gang boss	216
jade blossom	feral rage	215
shadow word: pain	kabal talonpriest	215
murloc warleader	backstab	215
spirit claws	brann bronzebeard	214
gadgetzan auctioneer	innervate	214
acidic swamp ooze	reno jackson	214
arcane blast	bloodmage thalnos	214
questing adventurer	conceal	214
small-time buccaneer	lightning storm	213
brann bronzebeard	netherspite historian	213
maelstrom portal	jade spirit	213
doomsayer	abyssal enforcer	212
sunfury protector	the coin	212
wild growth	aviana	212
silent knight	swashburglar	212
jade blossom	nourish	211
mana wyrm	cult sorcerer	211
possessed villager	knife juggler	211
dark peddler	hellfire	210
innervate	mire keeper	210
questing adventurer	eviscerate	210
bluegill warrior	backstab	210
doomsayer	doomsayer	209
feral spirit	lightning bolt	209
jade blossom	azure drake	209
demonwrath	dark peddler	209
patches the pirate	cold blood	209
the coin	mountain giant	208
loot hoarder	forgotten torch	208
raven idol	jade spirit	208
the coin	blastcrystal potion	207
acidic swamp ooze	twilight drake	207
mistress of mixtures	loot hoarder	207
flame imp	crystalweaver	207
fiery bat	the coin	206
kabal courier	dirty rat	206
dark peddler	brann bronzebeard	205
small-time buccaneer	faerie dragon	204
acidic swamp ooze	bloodmage thalnos	204
the coin	huge toad	204
mana tide totem	jinyu waterspeaker	203
brann bronzebeard	imp gang boss	203
the coin	ice barrier	203
mistress of mixtures	frostbolt	202
mistress of mixtures	sylvanas windrunner	202
babbling book	archmage antonidas	202
truesilver champion	doomsayer	202
tomb pillager	eviscerate	201
sorcerer's apprentice	mirror image	201
mistress of mixtures	faceless shambler	201
